k,fit_start,fit_end,c,sigma2_base,sigma2_eff,theta0,theta_EB,L,lambda_MY,gamma_MYULA,TE_fit,TE_previous_ref,TE_ref_OLS,TE_ratio_vs_previous,TE_ratio_vs_OLS,nnz_target,nnz_raw,nnz_eff,weighted_l1,sum_w,budget_error,obj_final,phi_TE,w_nnz,score,sapg_seconds,fista_seconds,fista_iters,lambda_eff,TE_fit_bp,TE_previous_ref_bp
1,2020-01-03,2021-12-27,1.0,4.157090765528138e-07,4.157090765528138e-07,130.02082823870262,357.54332796295813,266986280.59980014,3.7455108095945685e-09,1.685479864317556e-09,0.0005208556864587754,0.00029263641224201687,0.00029263641224201687,1.7798731281191902,1.7798731281191902,150,290,232,0.9333229302581084,0.9990372203475938,-0.0009627796524062093,496.9685947693506,1.0,0.004611509662433047,0.004611509662433047,0.4671496959999786,0.08171977399979369,326,0.00014863400669510118,5.208556864587754,2.9263641224201686
1,2020-01-03,2021-12-27,10.0,4.157090765528138e-07,4.157090765528138e-06,130.02082823870262,343.63960605451325,115011094.94948941,8.694813317264566e-09,3.9126659927690545e-09,0.0006070572619839285,0.00029263641224201687,0.00029263641224201687,2.074441992139647,2.074441992139647,150,205,188,0.8804977802373928,0.9992682198690558,-0.0007317801309442151,324.802892433231,1.0,0.31499453169676334,0.31499453169676334,0.46999629600031767,0.1478072770005383,574,0.0014285410329989445,6.070572619839285,2.9263641224201686
1,2020-01-03,2021-12-27,25.0,4.157090765528138e-07,1.0392726913820346e-05,130.02082823870262,361.66234238937585,105495126.32493007,9.479110882525054e-09,4.265599897136275e-09,0.0008133732066524011,0.00029263641224201687,0.00029263641224201687,2.7794668490526844,2.7794668490526844,150,170,152,0.8501069689866717,0.9992718983345966,-0.0007281016654033801,323.4323422775123,1.0,0.9968051145430329,0.9968051145430329,0.4505079290001959,0.20125592000022152,681,0.003758657959465375,8.133732066524011,2.9263641224201686
1,2020-01-03,2021-12-27,50.0,4.157090765528138e-07,2.078545382764069e-05,130.02082823870262,344.42069530678697,102361754.84875062,9.769273704594031e-09,4.396173167067314e-09,0.0010649487478185083,0.00029263641224201687,0.00029263641224201687,3.6391532402255256,3.6391532402255256,150,155,144,0.8289135258491108,0.9993096993639673,-0.0006903006360327035,299.19527668818375,1.0,0.9716107671891228,0.9716107671891228,0.4491375170000538,0.17599073000019416,668,0.007158940459583123,10.649487478185083,2.9263641224201686
1,2020-01-03,2021-12-27,75.0,4.157090765528138e-07,3.1178180741461035e-05,130.02082823870262,353.08359063811355,101322027.35025245,9.869522216952645e-09,4.44128499762869e-09,0.0013933226768377287,0.00029263641224201687,0.00029263641224201687,4.761275830860787,4.761275830860787,150,113,103,0.8029646568061064,0.9993614083712248,-0.0006385916287752202,299.1311790649202,1.0,0.1708105895230649,0.1708105895230649,0.458607782999934,0.23672028399960254,919,0.011008504005759144,13.933226768377287,2.9263641224201686
1,2020-01-03,2021-12-27,100.0,4.157090765528138e-07,4.157090765528138e-05,130.02082823870262,349.56966643684115,100803081.35404745,9.920331666129648e-09,4.4641492497583416e-09,0.001513282408949447,0.00029263641224201687,0.00029263641224201687,5.171203396581859,5.171203396581859,150,157,137,0.8044083263450721,0.9993811840374376,-0.0006188159625624134,295.01640942184696,0.0,0.8735411859788501,0.0,0.42983012799959397,0.14348869700006617,600,0.014531928322533439,15.13282408949447,2.9263641224201686
1,2020-01-03,2021-12-27,125.0,4.157090765528138e-07,5.196363456910173e-05,130.02082823870262,363.09848654817483,100492011.51699959,9.95103973842574e-09,4.477967882291583e-09,0.0017340464347137452,0.00029263641224201687,0.00029263641224201687,5.925600377029124,5.925600377029124,150,158,131,0.7932451955749016,0.999312971365746,-0.0006870286342539611,302.5515798271314,0.0,0.7491620228249927,0.0,0.4838480720000007,0.15208927999992738,606,0.018867917067583256,17.340464347137452,2.9263641224201686
1,2020-01-03,2021-12-27,150.0,4.157090765528138e-07,6.235636148292207e-05,130.02082823870262,352.2825444593593,100284756.64836225,9.971605191269424e-09,4.487222336071242e-09,0.0018423320828092964,0.00029263641224201687,0.00029263641224201687,6.2956351490724485,6.2956351490724485,150,141,116,0.7859495665601659,0.9992937859947616,-0.0007062140052384036,290.54667959824303,0.0,0.39661073328996493,0.0,0.4577898389998154,0.18141755700071371,670,0.021967057686431375,18.423320828092965,2.9263641224201686
1,2020-01-03,2021-12-27,200.0,4.157090765528138e-07,8.314181531056277e-05,130.02082823870262,365.0665255847291,100025829.52608946,9.997417714383191e-09,4.4988379714724365e-09,0.0022176795739796023,0.00029263641224201687,0.00029263641224201687,7.5782762541031,7.5782762541031,150,131,120,0.7728844439801831,0.9992716472490225,-0.0007283527509774901,297.0088456368147,0.0,0.4867522559599717,0.0,0.4354594440001165,0.14496963800047524,633,0.030352293646234384,22.176795739796024,2.9263641224201686
