public_path,source_file,category,description,rows,columns,md5,notes
comparisons/te_turnover_frontier_full_horizon_data.csv,te_turnover_frontier_full_horizon_data.csv,comparisons,Data used for the full-horizon TE-turnover frontier figure.,6,6,99bc462d453064ada5f7cffbdd96438a,
construction/construction_fit01_cgrid_summary.csv,construction_fit01_cgrid_summary.csv,construction,Construction-stage effective loss-scale grid for the initial tracker.,9,32,b8655e59977a07a1dabdce2f1e69a33f,
construction/construction_mala_coordinate_ess.csv,construction_mala_coordinate_ess.csv,construction,Construction-stage coordinate-level ESS diagnostics.,99,5,07d67c521d15cf45acbadd8f38f94977,
construction/construction_mala_diagnostics.csv,construction_mala_diagnostics.csv,construction,Construction-stage MALA scalar diagnostics.,1,19,f7c8fe1f65fbd1e07e8a505fb38bca04,
construction/construction_refit_floor_audit.csv,construction_refit_floor_audit.csv,construction,Initial refit and one-off implementability floor audit.,1,20,86ffcf5c2a9857549ec0992cfd6e7519,
construction/construction_selected_fit01_row.csv,construction_selected_fit01_row.csv,construction,Selected construction-grid row for FIT 1.,1,18,d34618c0fb59697a766bbbf3b879ee24,
construction/fista_trace_selected_fit01.csv,fista_trace_selected_fit01.csv,construction,FISTA trace for the selected construction MAP/refit computation.,681,6,b81cce1cfcf020fd8771a066935f46db,
construction/practical_positive_support_sensitivity.csv,practical_positive_support_sensitivity.csv,construction,Practical-positive support sensitivity table for construction-stage posterior.,16,8,0d1cd8acb21ac2b075598fc7fa8046f1,
construction/sapg_trace_selected_fit01.csv,sapg_trace_selected_fit01.csv,construction,SAPG trace for the selected construction row.,1501,6,0505c786ed4a6170ef7523ee732f4d13,
construction/sapg_trace_summary_selected_fit01.csv,sapg_trace_summary_selected_fit01.csv,construction,SAPG trace summary for the selected construction row.,1,15,79b7e3a3e3dd136c4e747eb1b4a10369,
data/asset_universe.csv,generated from maintenance/full_compositions.csv,data,"Ticker universe for the fixed empirical sample, preserving the order in the full-compositions output.",397,2,e002bb50394ea8ed94cbfefe1fd83056,Generated convenience file; the same universe is recoverable from merged returns and full_compositions.csv.
data/rolling_windows.csv,generated from locked paper protocol,data,Locked 500-trading-day FIT windows and quarterly HOLD windows used for the empirical study.,16,7,156c3e0e55009e4559fb16d96f07b29b,Generated from the final manuscript protocol; compare hold dates with hold_summary.csv.
maintenance/daily_paths.csv,daily_paths.csv,maintenance,Daily index/tracker/active-return and cumulative-path data.,1007,14,7a193400f141c5194e0efd501b95dde1,
maintenance/decision_summary.csv,decision_summary.csv,maintenance,Implemented decision summary by hold.,16,34,0f447546a8f93e1136cde20cfec74f9d,
maintenance/delta_w_cgrid_all_holds.csv,delta_w_cgrid_all_holds.csv,maintenance,Complete Delta-w effective loss-scale grid rows for all holding transitions.,135,16,56e5a9ba36d038276bcbaa9faa10f1da,
maintenance/delta_w_mala_diagnostics.csv,delta_w_mala_diagnostics.csv,maintenance,Sequential Delta-w MALA diagnostics.,15,22,f6fa5b21a800fb538bcef3c0ba855218,
maintenance/delta_w_selected_rows.csv,delta_w_selected_rows.csv,maintenance,Selected Delta-w grid rows before each post-initial holding window.,15,20,e2023ba84c1bc1a4f7ebfe1cdaf3dd76,
maintenance/full_compositions.csv,full_compositions.csv,maintenance,Full held portfolio weights for every hold and ticker.,6352,5,5481c57200d4fd81b3598e5f10e6ee97,
maintenance/hold_summary.csv,hold_summary.csv,maintenance,"Hold-level realised TE, turnover, trades, and concentration summary.",16,31,bdb244269bbd9eea3a2553781318fc02,
maintenance/portfolio_composition_summary.csv,portfolio_composition_summary.csv,maintenance,Per-hold composition and concentration summary.,16,9,3ba1a9d331fb435a8ef6b2396fa88874,
maintenance/recovery_candidates.csv,recovery_candidates.csv,maintenance,Candidate-level posterior and implementation audit for recovery decisions.,3573,32,833401abe92ad423d9881c01482fae18,
maintenance/recovery_funding_actions.csv,recovery_funding_actions.csv,maintenance,Local recovery funding top-up actions.,11,13,5638ce211056592fe1b1acbbb056809a,
maintenance/recovery_state_log.csv,recovery_state_log.csv,maintenance,Recovery-trigger and recovery-state information by hold.,16,15,667b4db13de9393b30fc8bc0ac34d2fd,
maintenance/sequential_rebalance_audit.csv,sequential_rebalance_audit.csv,maintenance,Sequential rebalancing audit summary generated by the maintenance workflow.,15,38,21ab2ec6c92c9cf8576ff3f14ddf36ba,
maintenance/small_weight_summary.csv,small_weight_summary.csv,maintenance,Small-weight/dust-position summary by hold.,16,16,13d5c5139ad081cf834721386497972b,
maintenance/top50_compositions.csv,top50_compositions.csv,maintenance,Top 50 holdings by absolute weight for each hold.,800,5,b345b729e5acfb4df04eda8ccaf3af49,
