hold,decision_type,no_trade,no_trade_reason,implementation_case,turnover,n_trades,n_increases,n_decreases,sum_dw,max_abs_dw,candidate_name,S_size,fit_TE_new,fit_TE_new_bp,recovery_mode_active,controlled_recovery_replaced_normal_decision,recovery_reason,recovery_prev_hold_te_bp,recovery_p_dir,recovery_max_one_way_turnover,S_size_raw_before_truncation,S_size_after_truncation,turnover_cap_applied,turnover_before_cap,turnover_after_cap,buy_topup_enabled,buy_topup_used,buy_topup_skip_reason,approved_buy_amount_raw,approved_sell_amount_raw,extra_funding_amount,n_extra_funders,implemented_buy_amount
1,initial portfolio,False,,initial portfolio,0.0,0,0,0,0.0,0.0,,,,,False,False,no_completed_hold_yet,,,,0,0,False,,,False,False,,,,,0,
2,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,0.0,0.0011819769419514157,11.819769419514158,True,True,target_trigger,17.151309018025746,0.55,0.02,0,0,False,0.0,0.0,True,False,empty_selected_recovery_set,,,,0,
3,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,moderate_dir_eps1e-4_pi0.60,0.0,0.0012203685470310302,12.203685470310301,False,False,calm_mode,15.362730004041687,,,0,0,False,,,False,False,,,,,0,
4,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,moderate_dir_eps1e-4_pi0.60,0.0,0.0012369081019162266,12.369081019162266,False,False,calm_mode,12.217792428118564,,,0,0,False,,,False,False,,,,,0,
5,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,0.0,0.0013665237157194578,13.665237157194579,True,True,target_trigger,19.063956454756966,0.55,0.02,0,0,False,0.0,0.0,True,False,empty_selected_recovery_set,,,,0,
6,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,moderate_dir_eps1e-4_pi0.60,0.0,0.0014071400621111126,14.071400621111126,False,False,calm_mode,14.598810967165187,,,0,0,False,,,False,False,,,,,0,
7,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,moderate_dir_eps1e-4_pi0.60,0.0,0.0014479228237159645,14.479228237159646,False,False,calm_mode,13.11937284812104,,,0,0,False,,,False,False,,,,,0,
8,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,moderate_dir_eps1e-4_pi0.60,0.0,0.001506468120199131,15.06468120199131,False,False,calm_mode,14.754901649666927,,,0,0,False,,,False,False,,,,,0,
9,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,moderate_dir_eps1e-4_pi0.60,0.0,0.0015299802381686638,15.299802381686638,False,False,calm_mode,14.7759406423728,,,0,0,False,,,False,False,,,,,0,
10,rebalance decision,True,approved moves are sells only; no posterior-approved destination for freed budget,sell_only_no_destination,0.0,0,0,0,0.0,0.0,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,1.0,0.001568233899262929,15.682338992629289,True,True,target_trigger,20.460336867740057,0.55,0.02,1,1,False,0.0,0.0,True,False,no_approved_buys,0.0,0.00016312718750380683,,0,
11,rebalance decision,False,,buy_dominant_with_funding_topup,0.01,7,2,5,1.3010426069826053e-18,0.006807954423061291,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,5.0,0.0016957315602798007,16.957315602798005,True,True,target_trigger,26.886901284535377,0.55,0.02,5,5,False,0.01,0.01,True,True,,0.0005343658254228336,0.0005321941671829226,0.009467805832817078,2,0.01
12,rebalance decision,True,selected ROPE candidate set is empty,empty_candidate_set,0.0,0,0,0,0.0,0.0,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,0.0,0.001909783134409467,19.09783134409467,True,True,target_trigger,27.63431466850384,0.55,0.02,0,0,False,0.0,0.0,True,False,empty_selected_recovery_set,,,,0,
13,rebalance decision,False,,buy_dominant_with_funding_topup,0.010000000000000002,12,6,6,1.5178830414797062e-18,0.005505461962372971,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,10.0,0.0017965480497927247,17.965480497927246,True,True,target_trigger,19.75396558114492,0.55,0.02,13,10,False,0.010000000000000002,0.010000000000000002,True,True,,0.0027382968758413563,0.0010630485670586102,0.00893695143294139,2,0.01
14,rebalance decision,False,,buy_dominant_with_funding_topup,0.01,12,9,3,4.336808689942018e-19,0.0065420613747659805,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,10.0,0.0020106829008185224,20.106829008185223,True,True,target_trigger+jump_trigger,36.07398247415265,0.55,0.02,27,10,False,0.01,0.01,True,True,,0.006089792256155741,0.0004008968553314835,0.009599103144668516,2,0.01
15,rebalance decision,False,,buy_dominant_with_funding_topup,0.010000000000000002,12,10,2,8.673617379884035e-19,0.007964091964884833,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,10.0,0.00203469536584341,20.3469536584341,True,True,target_trigger,23.183213564669128,0.55,0.02,20,10,False,0.010000000000000002,0.010000000000000002,True,True,,0.004829332061834513,0.0,0.01,2,0.01
16,rebalance decision,False,,buy_dominant_with_funding_topup,0.009999999999999998,13,10,3,-1.3010426069826053e-18,0.005460283441706994,recovery_asym_eps1e-4_exist0p525_new0p575_sell0p525,10.0,0.0020630867841286986,20.630867841286985,True,True,target_trigger,24.2736497788781,0.55,0.02,22,10,False,0.009999999999999998,0.009999999999999998,True,True,,0.0050431015929775945,0.0,0.01,3,0.01
