hold,hold_label,proposals,thin,kept_total,burn_kept,kept_post_burn,gamma,accept_rate,wall_seconds,te_mean_return,te_mean_bp,te_median_return,te_median_bp,te90_low_return,te90_high_return,te90_low_bp,te90_high_bp,ess_te,ess_sentinel_min,ess_sentinel_max,ess_sentinel_string
2,H02,250000,6,41666,5000,36666,0.0005955497,0.631,223.6,0.002982739,29.827,0.002911113,29.111,0.002500478,0.003717492,25.00478,37.17492,10421.8,6879.5,15279.2,"j=291: 10065.3, j=274: 7439.6, j=315: 6879.5, j=38: 15279.2"
3,H03,250000,6,41666,5000,36666,0.0008386522,0.554,203.3,0.004480741,44.807,0.004389378,43.894,0.003742317,0.005537025,37.42317,55.37025,12190.0,2090.4,23278.0,"j=201: 17247.2, j=311: 2090.4, j=185: 23278.0, j=16: 16029.3"
4,H04,250000,6,41666,5000,36666,0.0007986787,0.57,208.3,0.003212562,32.126,0.003150739,31.507,0.002709119,0.003932016,27.091189999999997,39.32016,11255.2,5628.5,15628.0,"j=62: 7846.7, j=308: 5628.5, j=161: 9496.3, j=16: 15628.0"
5,H05,250000,6,41666,5000,36666,0.0007505186,0.598,870.0,0.001475027,14.75,0.001470673,14.707,0.001395659,0.001570274,13.95659,15.70274,7317.4,3928.4,10519.0,"j=334: 9049.1, j=169: 10519.0, j=353: 3928.4, j=267: 10176.6"
6,H06,250000,6,41666,5000,36666,0.0007253925,0.595,235.6,0.002235314,22.353,0.002211726,22.117,0.001962884,0.002588733,19.628839999999997,25.887330000000002,9912.5,5678.4,11055.9,"j=274: 8370.4, j=392: 8747.7, j=189: 5678.4, j=319: 11055.9"
7,H07,250000,6,41666,5000,36666,0.0007308195,0.588,270.6,0.002262672,22.627,0.002238521,22.385,0.001994284,0.002616404,19.942839999999997,26.16404,8838.0,5702.4,15982.1,"j=144: 12085.6, j=340: 5702.4, j=218: 15982.1, j=184: 6177.2"
8,H08,250000,6,41666,5000,36666,0.0007249951,0.612,879.4,0.001595089,15.951,0.00159191,15.919,0.001517298,0.001684138,15.17298,16.84138,7291.7,3647.7,11642.9,"j=132: 11629.4, j=51: 11642.9, j=44: 10509.5, j=228: 3647.7"
9,H09,250000,6,41666,5000,36666,0.0007425831,0.606,894.3,0.001622003,16.22,0.001619295,16.193,0.001544995,0.001707692,15.44995,17.07692,7815.8,9726.1,10577.9,"j=132: 10467.7, j=8: 10372.9, j=188: 10577.9, j=327: 9726.1"
10,H10,250000,6,41666,5000,36666,0.0007549941,0.617,897.0,0.001660988,16.61,0.001658259,16.583,0.001581754,0.001749297,15.817540000000001,17.49297,7771.1,7730.5,9668.4,"j=83: 8963.8, j=290: 7730.5, j=75: 9668.4, j=17: 9325.9"
11,H11,250000,6,41666,5000,36666,0.0008454578,0.625,891.1,0.001852256,18.523,0.001850183,18.502,0.001755995,0.001955675,17.55995,19.55675,6474.4,6322.9,9844.6,"j=329: 9844.6, j=139: 9227.7, j=180: 6322.9, j=334: 7950.1"
12,H12,250000,6,41666,5000,36666,0.000933746,0.606,213.8,0.006137757,61.378,0.006071161,60.712,0.005310346,0.007184158,53.10346,71.84158000000001,11595.7,3741.2,9128.7,"j=229: 5163.3, j=278: 9128.7, j=330: 6192.5, j=33: 3741.2"
13,H13,250000,6,41666,5000,36666,0.001148093,0.599,879.4,0.001950878,19.509,0.001945457,19.455,0.001805317,0.002118007,18.05317,21.180069999999997,5191.7,9940.0,12965.6,"j=320: 12150.2, j=75: 12549.9, j=117: 12965.6, j=322: 9940.0"
14,H14,250000,6,41666,5000,36666,0.001244332,0.607,870.9,0.002097405,20.974,0.002090733,20.907,0.00192345,0.002296297,19.2345,22.962970000000002,5568.0,12004.9,12381.4,"j=393: 12283.4, j=280: 12065.7, j=304: 12004.9, j=123: 12381.4"
15,H15,250000,6,41666,5000,36666,0.0009475,0.594,881.7,0.002066343,20.663,0.002059323,20.593,0.001899334,0.00225584,18.99334,22.5584,6558.0,7527.2,10290.7,"j=216: 7527.2, j=381: 9039.8, j=131: 10290.7, j=53: 10108.7"
16,H16,250000,6,41666,5000,36666,0.0009850169,0.578,881.6,0.002096802,20.968,0.002089124,20.891,0.001926944,0.002293449,19.26944,22.93449,5564.7,9789.8,10374.9,"j=185: 9939.2, j=60: 10374.9, j=16: 9789.8, j=283: 10021.8"
