hold,prev_completed_hold,prev_hold_te_bp,prev_prev_hold_te_bp,target_trigger,jump_trigger,recovery_active_for_decision,recovery_anchor_bp,exit_condition_met,p_recovery_used,max_turnover_used,max_moves_used,max_new_buys_used,reason,evaluated_after_hold
2,1,17.151309018025746,,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,1
3,2,15.362730004041687,17.151309018025746,False,False,False,,False,0.55,0.02,10,4,calm_mode,2
4,3,12.217792428118564,15.362730004041687,False,False,False,,False,0.55,0.02,10,4,calm_mode,3
5,4,19.063956454756966,12.217792428118564,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,4
6,5,14.598810967165187,19.063956454756966,False,False,False,,False,0.55,0.02,10,4,calm_mode,5
7,6,13.11937284812104,14.598810967165187,False,False,False,,False,0.55,0.02,10,4,calm_mode,6
8,7,14.754901649666927,13.11937284812104,False,False,False,,False,0.55,0.02,10,4,calm_mode,7
9,8,14.7759406423728,14.754901649666927,False,False,False,,False,0.55,0.02,10,4,calm_mode,8
10,9,20.460336867740057,14.7759406423728,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,9
11,10,26.886901284535377,20.460336867740057,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,10
12,11,27.63431466850384,26.886901284535377,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,11
13,12,19.75396558114492,27.63431466850384,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,12
14,13,36.07398247415265,19.75396558114492,True,True,True,15.0,False,0.55,0.02,10,4,target_trigger+jump_trigger,13
15,14,23.183213564669128,36.07398247415265,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,14
16,15,24.2736497788781,23.183213564669128,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,15
17,16,29.582335966570362,24.2736497788781,True,False,True,15.0,False,0.55,0.02,10,4,target_trigger,16
